edible-poisonous,gill-spacing,stalk-shape,stalk-color-above-ring,stalk-color-below-ring,gill-color,bruised
edible,close,enlarging,white,white,brown,false
edible,close,enlarging,white,white,black,true
edible,close,enlarging,white,white,gray,true
edible,close,enlarging,white,white,gray,true
edible,crowded,tapering,white,white,brown,false
edible,close,enlarging,white,white,gray,true
edible,close,enlarging,white,white,pink,true
edible,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,gray,true
edible,close,enlarging,white,white,gray,true
edible,crowded,tapering,white,white,pink,false
edible,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,gray,true
edible,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,gray,true
edible,close,enlarging,white,white,black,true
edible,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,gray,false
edible,crowded,tapering,white,white,white,true
edible,close,enlarging,white,white,brown,true
poisonous,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,pink,true
edible,close,enlarging,white,white,pink,false
edible,close,enlarging,white,white,white,true
edible,crowded,tapering,white,white,pink,true
edible,close,enlarging,white,white,black,false
poisonous,close,enlarging,white,white,black,true
edible,close,enlarging,white,white,gray,true
poisonous,close,enlarging,white,white,pink,true
edible,crowded,tapering,white,white,black,false
edible,close,enlarging,white,white,gray,true
edible,crowded,tapering,white,white,brown,false
edible,close,enlarging,white,white,white,true
edible,crowded,tapering,white,white,chocolate,false
edible,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,white,true
edible,crowded,tapering,white,white,white,true
edible,close,enlarging,white,white,gray,true
edible,crowded,tapering,white,white,pink,true
poisonous,close,enlarging,white,white,white,true
edible,crowded,tapering,white,white,white,true
edible,close,enlarging,white,white,brown,true
poisonous,close,enlarging,white,white,pink,true
edible,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,gray,true
edible,close,enlarging,white,white,black,false
edible,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,black,true
edible,crowded,tapering,white,white,black,false
edible,crowded,tapering,white,white,black,false
edible,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,black,true
edible,close,enlarging,white,white,gray,true
edible,close,enlarging,white,white,white,true
edible,crowded,tapering,white,white,pink,false
edible,close,enlarging,white,white,gray,true
edible,close,enlarging,white,white,black,false
edible,crowded,tapering,white,white,white,true
edible,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,black,true
edible,close,enlarging,white,white,black,true
edible,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,gray,true
edible,close,enlarging,white,white,gray,true
edible,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,black,false
edible,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,black,true
edible,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,black,true
edible,close,enlarging,white,white,gray,false
edible,close,enlarging,white,white,black,true
edible,crowded,tapering,white,white,brown,true
edible,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,pink,true
edible,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,black,true
edible,close,enlarging,white,white,gray,true
edible,close,enlarging,white,white,gray,true
edible,close,enlarging,white,white,gray,true
poisonous,close,enlarging,white,white,pink,true
edible,close,enlarging,white,white,gray,false
edible,close,enlarging,white,white,gray,false
edible,close,enlarging,white,white,gray,true
edible,close,enlarging,white,white,pink,true
poisonous,close,enlarging,white,white,black,true
edible,close,enlarging,white,white,gray,true
edible,close,enlarging,white,white,pink,false
edible,close,enlarging,white,white,gray,true
edible,close,enlarging,white,white,white,true
edible,crowded,tapering,white,white,pink,false
edible,crowded,tapering,white,white,white,true
edible,close,enlarging,white,white,white,true
edible,crowded,tapering,white,white,white,true
edible,close,enlarging,white,white,black,true
edible,close,enlarging,white,white,gray,false
edible,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,gray,true
edible,close,enlarging,white,white,brown,true
edible,crowded,tapering,white,white,brown,true
edible,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,gray,true
edible,crowded,tapering,white,white,chocolate,false
edible,close,enlarging,white,white,brown,true
poisonous,close,enlarging,white,white,black,true
edible,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,black,true
edible,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,white,true
edible,crowded,tapering,white,white,brown,true
edible,close,enlarging,white,white,brown,false
edible,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,gray,true
edible,close,enlarging,white,white,black,true
edible,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,pink,false
edible,close,enlarging,white,white,brown,true
poisonous,close,enlarging,white,white,black,true
edible,close,enlarging,white,white,brown,true
edible,crowded,tapering,white,white,pink,true
edible,close,enlarging,white,white,gray,true
edible,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,gray,true
edible,close,enlarging,white,white,gray,true
poisonous,close,enlarging,white,white,pink,true
edible,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,brown,false
poisonous,close,enlarging,white,white,black,true
edible,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,black,false
edible,close,enlarging,white,white,black,true
edible,crowded,tapering,white,white,white,true
edible,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,pink,true
edible,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,white,true
poisonous,close,enlarging,white,white,brown,true
edible,crowded,tapering,white,white,pink,true
edible,close,enlarging,white,white,white,true
edible,crowded,tapering,white,white,pink,true
edible,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,white,true
edible,crowded,tapering,white,white,pink,false
edible,close,enlarging,white,white,white,true
poisonous,close,enlarging,white,white,pink,true
edible,close,enlarging,white,white,gray,false
edible,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,black,true
edible,close,enlarging,white,white,black,false
edible,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,gray,true
edible,close,enlarging,white,white,gray,true
edible,close,enlarging,white,white,white,true
poisonous,close,enlarging,white,white,black,true
edible,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,brown,true
edible,crowded,tapering,white,white,white,true
edible,close,enlarging,white,white,gray,false
edible,crowded,tapering,white,white,pink,false
edible,close,enlarging,white,white,gray,true
edible,close,enlarging,white,white,black,true
poisonous,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,brown,true
poisonous,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,black,true
edible,close,enlarging,white,white,black,true
edible,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,white,true
edible,crowded,tapering,white,white,chocolate,false
edible,close,enlarging,white,white,black,true
poisonous,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,pink,false
edible,close,enlarging,white,white,black,true
edible,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,gray,true
edible,close,enlarging,white,white,gray,true
edible,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,pink,false
edible,close,enlarging,white,white,gray,false
edible,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,black,true
edible,close,enlarging,white,white,gray,true
edible,close,enlarging,white,white,gray,true
edible,close,enlarging,white,white,black,true
edible,crowded,tapering,white,white,pink,false
edible,crowded,tapering,white,white,pink,true
poisonous,close,enlarging,white,white,pink,true
edible,crowded,tapering,white,white,black,false
edible,close,enlarging,white,white,white,true
edible,crowded,tapering,white,white,white,true
edible,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,gray,true
edible,close,tapering,gray,pink,pink,true
edible,close,enlarging,white,white,black,true
edible,close,enlarging,white,white,gray,true
edible,close,enlarging,white,white,pink,true
edible,crowded,tapering,white,white,brown,false
edible,close,enlarging,white,white,white,true
poisonous,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,brown,true
edible,crowded,tapering,white,white,pink,true
edible,close,enlarging,white,white,gray,true
poisonous,close,enlarging,white,white,black,true
edible,crowded,tapering,white,white,white,true
edible,close,enlarging,white,white,black,true
edible,crowded,tapering,white,white,brown,true
edible,crowded,tapering,white,white,white,true
edible,close,enlarging,white,white,black,true
edible,crowded,tapering,white,white,white,true
edible,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,pink,true
edible,close,enlarging,white,white,black,true
edible,close,enlarging,white,white,brown,true
poisonous,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,gray,true
poisonous,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,gray,true
edible,close,tapering,pink,white,pink,true
edible,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,gray,false
edible,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,black,true
edible,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,gray,true
edible,crowded,tapering,white,white,pink,true
edible,close,enlarging,white,white,gray,true
edible,crowded,tapering,white,white,brown,false
edible,crowded,tapering,white,white,brown,true
edible,close,enlarging,white,white,brown,true
edible,crowded,tapering,white,white,brown,false
edible,close,enlarging,white,white,gray,false
edible,crowded,tapering,white,white,chocolate,false
edible,close,enlarging,white,white,pink,true
edible,close,enlarging,white,white,black,true
edible,close,enlarging,white,white,black,true
edible,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,gray,false
edible,close,enlarging,white,white,pink,true
poisonous,close,enlarging,white,white,black,true
edible,close,enlarging,white,white,pink,true
edible,close,enlarging,white,white,white,true
edible,crowded,tapering,white,white,chocolate,false
edible,crowded,tapering,white,white,pink,false
edible,crowded,tapering,white,white,black,false
edible,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,pink,false
edible,close,enlarging,white,white,white,true
edible,crowded,tapering,white,white,pink,true
edible,close,enlarging,white,white,gray,true
edible,crowded,tapering,white,white,brown,false
edible,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,brown,false
edible,close,enlarging,white,white,black,true
edible,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,black,false
edible,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,black,true
edible,close,enlarging,white,white,black,true
poisonous,close,enlarging,white,white,pink,true
edible,crowded,tapering,white,white,black,false
edible,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,gray,true
edible,close,tapering,gray,white,brown,true
poisonous,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,white,true
edible,crowded,tapering,white,white,brown,false
edible,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,gray,true
edible,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,black,false
edible,close,enlarging,white,white,white,true
edible,crowded,tapering,white,white,chocolate,false
edible,close,enlarging,white,white,black,true
edible,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,brown,false
poisonous,close,enlarging,white,white,pink,true
edible,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,brown,true
poisonous,close,enlarging,white,white,pink,true
edible,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,black,true
edible,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,gray,true
edible,close,enlarging,white,white,gray,true
edible,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,white,true
edible,crowded,tapering,white,white,brown,false
edible,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,brown,true
poisonous,close,enlarging,white,white,black,true
edible,close,enlarging,white,white,white,true
edible,crowded,tapering,white,white,pink,true
poisonous,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,black,true
edible,crowded,tapering,white,white,chocolate,false
edible,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,white,true
poisonous,close,enlarging,white,white,pink,true
edible,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,brown,true
edible,crowded,tapering,white,white,brown,true
edible,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,black,true
edible,crowded,tapering,white,white,pink,false
edible,close,enlarging,white,white,brown,false
edible,close,enlarging,white,white,gray,true
edible,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,gray,true
edible,close,enlarging,white,white,white,true
edible,crowded,tapering,white,white,brown,true
edible,close,enlarging,white,white,white,true
edible,crowded,tapering,white,white,brown,true
edible,close,enlarging,white,white,gray,true
edible,close,enlarging,white,white,black,true
edible,close,enlarging,white,white,pink,true
edible,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,gray,true
edible,close,enlarging,white,white,pink,true
edible,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,pink,true
edible,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,white,true
edible,close,tapering,gray,pink,brown,true
edible,close,enlarging,white,white,black,true
edible,close,enlarging,white,white,gray,true
edible,close,enlarging,white,white,gray,true
edible,crowded,tapering,white,white,pink,true
edible,close,enlarging,white,white,gray,true
edible,crowded,tapering,white,white,chocolate,false
edible,close,enlarging,white,white,black,true
edible,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,black,true
edible,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,gray,true
edible,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,black,false
edible,close,enlarging,white,white,pink,true
edible,close,enlarging,white,white,gray,true
edible,close,enlarging,white,white,gray,true
edible,close,enlarging,white,white,gray,true
edible,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,gray,true
edible,close,enlarging,white,white,white,true
edible,crowded,tapering,white,white,brown,true
edible,close,enlarging,white,white,black,false
edible,crowded,tapering,white,white,brown,true
edible,close,enlarging,white,white,black,false
edible,close,enlarging,white,white,pink,false
edible,close,enlarging,white,white,white,true
edible,crowded,tapering,white,white,pink,true
edible,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,black,true
edible,close,enlarging,white,white,gray,true
edible,crowded,tapering,white,white,pink,true
edible,close,enlarging,white,white,gray,false
edible,crowded,tapering,white,white,white,true
edible,close,enlarging,white,white,pink,true
edible,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,pink,false
edible,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,brown,true
edible,crowded,tapering,white,white,brown,true
poisonous,close,enlarging,white,white,pink,true
poisonous,close,enlarging,white,white,black,true
edible,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,black,true
edible,crowded,tapering,white,white,chocolate,false
edible,close,enlarging,white,white,pink,true
edible,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,gray,true
edible,close,enlarging,white,white,gray,true
edible,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,white,true
poisonous,close,enlarging,white,white,brown,true
edible,crowded,tapering,white,white,pink,false
edible,crowded,tapering,white,white,pink,false
edible,crowded,tapering,white,white,brown,true
edible,close,enlarging,white,white,pink,false
edible,close,enlarging,white,white,black,false
edible,close,enlarging,white,white,black,true
edible,crowded,tapering,white,white,brown,true
edible,close,enlarging,white,white,brown,false
edible,close,enlarging,white,white,black,false
edible,crowded,tapering,white,white,chocolate,false
edible,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,black,true
edible,close,enlarging,white,white,black,true
edible,close,enlarging,white,white,black,true
edible,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,pink,true
poisonous,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,brown,false
edible,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,black,true
edible,close,enlarging,white,white,black,false
edible,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,brown,true
poisonous,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,white,true
poisonous,close,enlarging,white,white,black,true
edible,crowded,tapering,white,white,black,false
edible,close,enlarging,white,white,black,true
edible,close,enlarging,white,white,pink,false
edible,close,enlarging,white,white,gray,true
edible,crowded,tapering,white,white,pink,true
edible,close,enlarging,white,white,brown,true
edible,crowded,tapering,white,white,pink,false
poisonous,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,pink,true
edible,crowded,tapering,white,white,brown,false
edible,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,gray,true
edible,close,enlarging,white,white,gray,false
edible,crowded,tapering,white,white,pink,true
edible,close,enlarging,white,white,gray,true
edible,close,enlarging,white,white,brown,false
edible,crowded,tapering,white,white,chocolate,false
edible,close,enlarging,white,white,pink,true
edible,crowded,tapering,white,white,pink,true
edible,close,enlarging,white,white,black,true
edible,close,enlarging,white,white,pink,true
poisonous,close,enlarging,white,white,black,true
edible,crowded,tapering,white,white,white,true
edible,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,gray,true
edible,close,enlarging,white,white,gray,true
edible,crowded,tapering,white,white,white,true
edible,crowded,tapering,white,white,brown,true
edible,crowded,tapering,white,white,brown,false
edible,close,enlarging,white,white,white,true
poisonous,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,gray,true
edible,crowded,tapering,white,white,black,false
poisonous,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,black,true
edible,crowded,tapering,white,white,brown,true
edible,close,enlarging,white,white,black,true
edible,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,pink,false
edible,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,white,true
poisonous,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,gray,true
edible,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,black,true
edible,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,black,true
edible,close,enlarging,white,white,gray,false
edible,close,enlarging,white,white,brown,false
edible,close,enlarging,white,white,brown,false
edible,close,enlarging,white,white,brown,true
poisonous,close,enlarging,white,white,black,true
edible,crowded,tapering,white,white,chocolate,false
edible,close,enlarging,white,white,gray,true
poisonous,close,enlarging,white,white,black,true
edible,close,enlarging,white,white,gray,true
poisonous,close,enlarging,white,white,pink,true
edible,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,gray,true
poisonous,close,enlarging,white,white,pink,true
poisonous,close,enlarging,white,white,brown,true
edible,crowded,tapering,white,white,brown,false
edible,close,enlarging,white,white,white,true
edible,crowded,tapering,white,white,black,false
edible,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,brown,true
edible,crowded,tapering,white,white,brown,false
edible,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,brown,false
edible,crowded,tapering,white,white,chocolate,false
edible,crowded,tapering,white,white,brown,false
edible,crowded,tapering,white,white,pink,false
poisonous,close,enlarging,white,white,black,true
edible,close,enlarging,white,white,pink,true
edible,close,enlarging,white,white,gray,true
edible,crowded,tapering,white,white,pink,false
edible,close,enlarging,white,white,gray,true
edible,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,brown,false
edible,close,enlarging,white,white,pink,true
edible,close,enlarging,white,white,white,true
edible,crowded,tapering,white,white,brown,true
edible,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,pink,false
edible,close,enlarging,white,white,gray,true
edible,crowded,tapering,white,white,white,true
edible,close,enlarging,white,white,pink,false
edible,close,enlarging,white,white,gray,true
edible,close,enlarging,white,white,black,true
edible,crowded,tapering,white,white,brown,false
edible,close,enlarging,white,white,black,true
edible,close,tapering,white,gray,brown,true
edible,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,pink,true
edible,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,pink,true
edible,close,enlarging,white,white,brown,true
edible,crowded,tapering,white,white,chocolate,false
edible,close,enlarging,white,white,gray,true
edible,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,brown,true
edible,crowded,tapering,white,white,brown,true
edible,close,enlarging,white,white,gray,true
edible,close,enlarging,white,white,black,true
edible,close,enlarging,white,white,brown,true
edible,crowded,tapering,white,white,pink,true
edible,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,white,true
poisonous,close,enlarging,white,white,white,true
poisonous,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,gray,true
edible,crowded,tapering,white,white,black,false
edible,close,enlarging,white,white,gray,true
edible,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,black,false
edible,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,black,true
poisonous,close,enlarging,white,white,brown,true
poisonous,close,enlarging,white,white,black,true
edible,close,enlarging,white,white,gray,true
edible,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,pink,true
edible,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,black,true
edible,close,enlarging,white,white,pink,false
edible,crowded,tapering,white,white,pink,false
edible,crowded,tapering,white,white,white,true
edible,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,gray,false
edible,close,enlarging,white,white,black,false
edible,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,gray,true
edible,crowded,tapering,white,white,brown,true
edible,close,enlarging,white,white,brown,true
edible,crowded,tapering,white,white,white,true
edible,close,enlarging,white,white,white,true
edible,close,tapering,pink,white,pink,true
edible,close,enlarging,white,white,gray,true
edible,close,enlarging,white,white,black,false
edible,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,black,true
edible,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,black,true
edible,close,enlarging,white,white,pink,true
edible,crowded,tapering,white,white,black,false
poisonous,close,enlarging,white,white,pink,true
edible,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,white,true
poisonous,close,enlarging,white,white,white,true
poisonous,close,enlarging,white,white,pink,true
edible,crowded,tapering,white,white,brown,false
poisonous,close,enlarging,white,white,white,true
edible,crowded,tapering,white,white,chocolate,false
edible,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,black,true
edible,close,enlarging,white,white,pink,true
edible,close,enlarging,white,white,pink,true
edible,close,enlarging,white,white,black,true
edible,close,enlarging,white,white,pink,false
edible,close,enlarging,white,white,black,true
edible,close,enlarging,white,white,gray,true
edible,close,enlarging,white,white,white,true
edible,crowded,tapering,white,white,pink,false
edible,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,black,true
edible,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,black,true
edible,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,gray,false
edible,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,black,true
edible,crowded,tapering,white,white,white,true
edible,crowded,tapering,white,white,pink,false
edible,close,enlarging,white,white,brown,true
poisonous,close,enlarging,white,white,black,true
edible,close,enlarging,white,white,white,true
edible,crowded,tapering,white,white,chocolate,false
edible,close,enlarging,white,white,brown,true
edible,close,enlarging,white,white,white,true
edible,close,enlarging,white,white,white,true
